,cancellation_policy_x0_flexible,cancellation_policy_x0_moderate,cancellation_policy_x0_strict_14_with_grace_period,accommodates,room_type_x0_Entire home/apt,availability_90,bedrooms,neighbourhood_group_cleansed_x0_Mitte,guests_included,cleaning_fee,calculated_host_listings_count,bathrooms,neighbourhood_cleansed_x0_Moabit West,neighbourhood_cleansed_x0_Osloer Straße,neighbourhood_cleansed_x0_Parkviertel,property_type_x0_Apartment,neighbourhood_cleansed_x0_Wedding Zentrum,neighbourhood_group_cleansed_x0_Friedrichshain-Kreuzberg,last_reviewYear_is_na,host_listings_count_is_na,host_sinceElapsed,host_sinceYear,last_reviewElapsed,price
61,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,26.722821145603326,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,1478476800,2016.0,1520035200,30.0
62,0.0,0.0,1.0,1,0.0,87,1.0,0.0,1,50.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,True,False,1538006400,2018.0,-9223372037,25.0
63,1.0,0.0,0.0,2,1.0,0,1.0,1.0,1,30.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,1430784000,2015.0,1472342400,35.0
64,0.0,0.0,1.0,10,1.0,38,5.0,0.0,8,60.0,9,3.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1270166400,2010.0,1540425600,359.0
65,0.0,1.0,0.0,1,0.0,0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1522454400,2018.0,1536796800,25.0
66,0.0,1.0,0.0,2,0.0,0,1.0,0.0,1,12.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1356739200,2012.0,1441065600,20.0
67,1.0,0.0,0.0,2,1.0,2,1.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1434672000,2015.0,1540684800,40.0
68,1.0,0.0,0.0,4,1.0,0,2.0,1.0,1,26.722821145603326,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,True,False,1495929600,2017.0,-9223372037,120.0
69,0.0,0.0,1.0,4,1.0,37,2.0,1.0,1,26.722821145603326,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1411257600,2014.0,-9223372037,69.0
70,0.0,0.0,1.0,4,1.0,0,1.0,1.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1510876800,2017.0,-9223372037,60.0
71,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,10.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1342569600,2012.0,1515024000,35.0
72,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.5,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1389139200,2014.0,1444780800,40.0
73,0.0,0.0,1.0,2,1.0,19,1.0,0.0,1,35.0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1512345600,2017.0,-9223372037,48.0
74,1.0,0.0,0.0,1,1.0,0,1.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1327536000,2012.0,-9223372037,65.0
75,0.0,0.0,1.0,2,1.0,10,1.0,0.0,1,50.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1395446400,2014.0,1539475200,73.0
76,0.0,0.0,1.0,2,1.0,50,1.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1331942400,2012.0,1540512000,45.0
77,1.0,0.0,0.0,2,1.0,0,1.0,0.0,1,45.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1406419200,2014.0,1498089600,49.0
78,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,1465516800,2016.0,1470528000,45.0
79,0.0,1.0,0.0,2,1.0,0,0.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1364688000,2013.0,1528502400,41.0
80,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,40.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1458172800,2016.0,1530316800,75.0
81,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1511827200,2017.0,1529798400,29.0
82,0.0,1.0,0.0,5,1.0,63,1.0,0.0,2,20.0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1441065600,2015.0,1538265600,90.0
83,0.0,1.0,0.0,2,1.0,6,0.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1390953600,2014.0,1534723200,45.0
84,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1451347200,2015.0,1469577600,21.0
85,0.0,1.0,0.0,2,1.0,0,0.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1378857600,2013.0,1443398400,55.0
86,0.0,0.0,1.0,3,1.0,0,0.0,1.0,2,25.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1405987200,2014.0,1451952000,50.0
87,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,20.0,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1423008000,2015.0,1523923200,100.0
88,0.0,1.0,0.0,4,1.0,3,1.0,1.0,2,25.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1367193600,2013.0,1443657600,100.0
89,0.0,0.0,1.0,2,1.0,35,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1424649600,2015.0,1540080000,65.0
90,0.0,0.0,1.0,7,1.0,62,4.0,0.0,1,80.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1461024000,2016.0,1540166400,240.0
91,1.0,0.0,0.0,2,0.0,35,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1375401600,2013.0,1533513600,32.0
92,0.0,1.0,0.0,1,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1502236800,2017.0,1503532800,25.0
93,0.0,0.0,1.0,3,1.0,62,1.0,0.0,3,45.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1308960000,2011.0,1537920000,129.0
94,1.0,0.0,0.0,4,1.0,30,1.0,0.0,1,35.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1505260800,2017.0,1540339200,63.0
95,0.0,1.0,0.0,4,1.0,3,1.0,1.0,2,25.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1394841600,2014.0,1538265600,119.0
96,0.0,1.0,0.0,2,0.0,0,1.0,0.0,2,29.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1318896000,2011.0,1539043200,39.0
97,0.0,0.0,1.0,2,1.0,22,0.0,0.0,1,40.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1294790400,2011.0,1540252800,47.0
98,1.0,0.0,0.0,1,0.0,0,1.0,0.0,1,20.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,True,False,1407369600,2014.0,-9223372037,40.0
99,0.0,1.0,0.0,4,1.0,0,2.0,0.0,1,60.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1492905600,2017.0,1539475200,95.0
100,0.0,0.0,1.0,6,1.0,20,1.0,1.0,2,30.0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1390262400,2014.0,1541203200,70.0
101,1.0,0.0,0.0,4,1.0,0,2.0,1.0,2,40.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1338595200,2012.0,1530403200,100.0
102,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1432857600,2015.0,1433721600,35.0
103,0.0,1.0,0.0,3,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1381449600,2013.0,1507507200,30.0
104,0.0,0.0,1.0,2,0.0,65,1.0,0.0,1,26.722821145603326,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1468108800,2016.0,1541376000,80.0
105,0.0,0.0,1.0,4,1.0,75,1.0,1.0,2,50.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1447372800,2015.0,1540080000,90.0
106,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,26.722821145603326,2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,1318809600,2011.0,1512864000,25.0
107,0.0,1.0,0.0,2,0.0,0,1.0,1.0,1,30.0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,1438214400,2015.0,1470182400,20.0
108,0.0,0.0,1.0,2,0.0,53,1.0,0.0,1,40.0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1384473600,2013.0,1537056000,28.0
109,0.0,0.0,1.0,2,0.0,0,1.0,0.0,1,0.0,11,2.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1327536000,2012.0,1468800000,27.0
110,0.0,0.0,1.0,2,0.0,0,1.0,1.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1463356800,2016.0,-9223372037,55.0
111,1.0,0.0,0.0,2,0.0,0,0.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1453334400,2016.0,1529712000,30.0
112,1.0,0.0,0.0,5,0.0,76,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1383350400,2013.0,1540684800,28.0
113,0.0,1.0,0.0,2,0.0,0,1.0,0.0,1,25.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1319760000,2011.0,1532995200,43.0
114,1.0,0.0,0.0,4,1.0,0,2.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1511654400,2017.0,1532563200,41.0
115,1.0,0.0,0.0,4,1.0,0,1.0,1.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,1413936000,2014.0,-9223372037,35.0
116,1.0,0.0,0.0,4,1.0,0,2.0,0.0,2,10.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1336348800,2012.0,1532476800,42.0
117,0.0,0.0,1.0,2,1.0,0,1.0,1.0,1,150.0,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1238889600,2009.0,-9223372037,77.0
118,0.0,1.0,0.0,2,1.0,21,1.0,0.0,1,35.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1425168000,2015.0,1540684800,80.0
119,1.0,0.0,0.0,2,0.0,0,2.0,1.0,1,26.722821145603326,1,2.0,0.0,0.0,1.0,1.0,0.0,0.0,True,False,1409529600,2014.0,-9223372037,15.0
120,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,0.0,1,2.5,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1440892800,2015.0,1525132800,29.0
121,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,0.0,1,1.5,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1407542400,2014.0,1522972800,39.0
122,0.0,1.0,0.0,3,0.0,0,1.0,0.0,1,20.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1347494400,2012.0,1483142400,27.0
123,1.0,0.0,0.0,3,1.0,23,1.0,1.0,1,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1538956800,2018.0,1540771200,110.0
124,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,1510099200,2017.0,-9223372037,38.0
125,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,26.722821145603326,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,False,False,1424822400,2015.0,1497744000,25.0
126,0.0,1.0,0.0,6,1.0,70,3.0,1.0,1,150.0,7,2.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1278547200,2010.0,1540512000,300.0
127,1.0,0.0,0.0,3,1.0,35,1.0,0.0,1,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1375574400,2013.0,-9223372037,85.0
128,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1376438400,2013.0,1539302400,99.0
129,1.0,0.0,0.0,2,1.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1436313600,2015.0,1519603200,50.0
130,0.0,1.0,0.0,2,0.0,0,1.0,0.0,1,5.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1392854400,2014.0,1531612800,20.0
131,0.0,0.0,1.0,2,0.0,47,1.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1459987200,2016.0,1541462400,55.0
132,0.0,0.0,1.0,4,1.0,22,2.0,0.0,4,25.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1389571200,2014.0,1516579200,100.0
133,0.0,1.0,0.0,1,0.0,0,1.0,0.0,1,25.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1414713600,2014.0,1459728000,80.0
134,0.0,0.0,1.0,2,0.0,0,1.0,1.0,1,26.722821145603326,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,1432771200,2015.0,-9223372037,40.0
135,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1429488000,2015.0,-9223372037,35.0
136,1.0,0.0,0.0,4,0.0,0,2.0,0.0,1,15.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1460073600,2016.0,1470787200,60.0
137,1.0,0.0,0.0,2,0.0,67,1.0,0.0,1,10.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1423440000,2015.0,1541289600,26.0
138,1.0,0.0,0.0,4,1.0,9,2.0,0.0,1,26.722821145603326,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1525910400,2018.0,1541116800,69.0
139,1.0,0.0,0.0,2,0.0,0,1.0,1.0,1,8.0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,True,False,1513036800,2017.0,-9223372037,23.0
140,1.0,0.0,0.0,2,1.0,0,1.0,1.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1450569600,2015.0,1450915200,53.0
141,1.0,0.0,0.0,2,0.0,11,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1394582400,2014.0,1540598400,30.0
142,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1391126400,2014.0,1510358400,21.0
